f2_s5_1,f2_s5_3,f2_s5_5,f2_s7a_14_16,f2_s7a_14_17,f2_s7a_14_18,f2_s7a_14_19,f2_s7a_14_20
una ciudad,nunca,nunca,una vez,no ocurrió,no ocurrió,no ocurrió,no ocurrió
"una localidad, comunidad o recinto",nunca,nunca,pocas veces,pocas veces,pocas veces,pocas veces,pocas veces
"una localidad, comunidad o recinto",de vez en cuando,de vez en cuando,no ocurrió,no ocurrió,no ocurrió,no ocurrió,no ocurrió
"una localidad, comunidad o recinto",de vez en cuando,nunca,no ocurrió,no ocurrió,no ocurrió,no ocurrió,no ocurrió
una ciudad,nunca,nunca,no ocurrió,no ocurrió,no ocurrió,no ocurrió,no ocurrió
una ciudad,nunca,de vez en cuando,no ocurrió,no ocurrió,no ocurrió,no ocurrió,no ocurrió
"una localidad, comunidad o recinto",nunca,nunca,pocas veces,no ocurrió,no ocurrió,no ocurrió,no ocurrió
una ciudad,nunca,nunca,no ocurrió,no ocurrió,no ocurrió,no ocurrió,no ocurrió
una ciudad,nunca,nunca,no ocurrió,no ocurrió,no ocurrió,no ocurrió,no ocurrió
"una localidad, comunidad o recinto",nunca,nunca,pocas veces,no ocurrió,no ocurrió,no ocurrió,no ocurrió
una ciudad,nunca,nunca,no ocurrió,no ocurrió,no ocurrió,no ocurrió,no ocurrió
"una localidad, comunidad o recinto",no recuerda,no recuerda,no ocurrió,no ocurrió,no ocurrió,no ocurrió,no ocurrió
"una localidad, comunidad o recinto",nunca,nunca,muchas veces,pocas veces,pocas veces,no ocurrió,no ocurrió
"una localidad, comunidad o recinto",de vez en cuando,de vez en cuando,una vez,no ocurrió,no ocurrió,no ocurrió,no ocurrió
una ciudad,nunca,nunca,no ocurrió,no ocurrió,no ocurrió,no ocurrió,no ocurrió
una ciudad,nunca,nunca,no ocurrió,no ocurrió,no ocurrió,no ocurrió,no ocurrió
"una localidad, comunidad o recinto",nunca,nunca,no ocurrió,no ocurrió,no ocurrió,no ocurrió,no ocurrió
"una localidad, comunidad o recinto",de vez en cuando,de vez en cuando,pocas veces,pocas veces,pocas veces,pocas veces,pocas veces
"una localidad, comunidad o recinto",frecuentemente,de vez en cuando,no ocurrió,no ocurrió,no ocurrió,no ocurrió,no ocurrió
"una localidad, comunidad o recinto",frecuentemente,de vez en cuando,muchas veces,muchas veces,muchas veces,no ocurrió,no ocurrió
